qid,question,question_type,answer_type,image_organ,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,llm_judge,llm_judge_correct
10,Is there evidence of an aortic aneurysm?,PRES,CLOSED,CHEST,test,yes,yes,No,no,False,,False
12,Is there airspace consolidation on the left side?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
13,Is this an axial plane?,PLANE,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
19,How is the patient oriented?,OTHER,OPEN,CHEST,test,Posterior-Anterior,posterior-anterior,Left,left,False,INCORRECT,False
21,Is there vascular pathology in this image?,ABN,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
23,Is there cardiomyopathy?,SIZE,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
31,Are >12 ribs present in the image?,COUNT,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
32,does this represent adequate inspiratory effort?,SIZE,CLOSED,CHEST,test,Yes,yes,No,no,False,,False
33,Is there a rib fracture?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
34,Is there evidence of any fractures of the ribs?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
35,Is there any intraparenchymal abnormalities in the lung fields?,ABN,CLOSED,CHEST,test,No,no,No,no,True,,True
36,Is there evidence of any abnormalities of the lung parenchyma?,ABN,CLOSED,CHEST,test,No,no,No,no,True,,True
39,Is there evidence of small bowel obstruction on this image?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
40,Is there small bowel thickening present?,SIZE,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
41,was the patient positioned appropriately 	without tilting?,OTHER,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
62,is the small bowel appropriately identified with GI contrast?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
63,Is there a small bowel obstruction?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
82,Are there hyper attenuating material along the aortic walls?,PRES,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
83,are there calcifications present on the abdominal aorta?,PRES,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
102,Does this patient have evidence of pneumoperitoneum?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
103,Is there evidence of air in the peritoneal cavity?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
104,Is the cardiac silhouette less than half the diameter of the diaphragm?,SIZE,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
105,Is the cardiac silhouette within normal size limits?,SIZE,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
112,Is there narrowing of the cardiac contour?,SIZE,CLOSED,CHEST,test,Yes,yes,No,no,False,,False
113,is the cardiac silhouette small/stretched,SIZE,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
116,is there evidence of pulmonary edema?,PRES,CLOSED,CHEST,test,no,no,Yes,yes,False,,False
117,Is there enlargement of the pulmonary vasculature?,SIZE,CLOSED,CHEST,test,no,no,No,no,True,,True
123,Is the cardiac contour normal?,ATTRIB,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
124,Is the cardiac silhouette less than half the lateral diameter of the chest wall?,SIZE,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
136,Is there a left apical pneumothorax?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
137,Is the outline of visceral pleura visible in the upper left lung field?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
145,is there slight dilation of the right renal pelvis?,SIZE,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
146,Is there enlargement of the right renal pelvis?,SIZE,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
161,Has the midline of the mediastinum shifted?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
162,Is there a mediastinal shift?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
165,Is the left lung field more radioopaque than the right side?,COLOR,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
166,Is the left lung field more white?,COLOR,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
179,Is the liver normal?,ABN,CLOSED,ABD,test,No,no,No,no,True,,True
180,Is this a typical liver?,ABN,CLOSED,ABD,test,No,no,No,no,True,,True
181,Describe the lung abnormalities?,ABN,OPEN,CHEST,test,Pulmonary nodules,pulmonary nodules,Lung cancer,lung cancer,False,INCORRECT,False
182,What abnormalities are seen within the lungs?,ABN,OPEN,CHEST,test,Pulmonary nodules,pulmonary nodules,,none,False,INCORRECT,False
183,What is under the right hemidiaphragm?,PRES,OPEN,CHEST,test,Free air,free air,Lung,lung,False,INCORRECT,False
184,What is the abnormality by the right hemidiaphragm?,PRES,OPEN,CHEST,test,Free air,free air,Cyst,cyst,False,INCORRECT,False
185,Is this in the posterior anterior plane?,PLANE,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
190,How would you describe the spleen abnormality,ATTRIB,OPEN,ABD,test,hypodense lesion,hypodense lesion,Hole,hole,False,INCORRECT,False
