qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized
0,synpic54610.jpg,HEAD,Are regions of the brain infarcted?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes
1,synpic29265.jpg,CHEST,Are the lungs normal appearing?,ABN,CLOSED,freeform,train,No,no,Yes,yes
2,synpic29265.jpg,CHEST,Is there evidence of a pneumothorax,PRES,CLOSED,freeform,train,No,no,Yes,yes
3,synpic28602.jpg,CHEST,What type of imaging does this not represent?,MODALITY,OPEN,freeform,train,ultrasound,ultrasound,Mri,mri
4,synpic29265.jpg,CHEST,Is this a MRI of the chest?,MODALITY,CLOSED,freeform,train,no,no,Yes,yes
5,synpic28602.jpg,CHEST,What is not pictured in this image?,ORGAN,OPEN,freeform,train,The extremities,the extremities,Heart,heart
6,synpic28602.jpg,CHEST,Is the trachea midline?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes
7,synpic28602.jpg,CHEST,Is there evidence of an aortic aneurysm?,PRES,CLOSED,freeform,train,No,no,Yes,yes
8,synpic39460.jpg,HEAD,Where is the abnormality?,POS,OPEN,freeform,train,left temporal lobe,left temporal lobe,Brain,brain
9,synpic28602.jpg,CHEST,Is there blunting of the costovertebral angles?,PRES,CLOSED,freeform,train,No,no,Yes,yes
11,synpic42202.jpg,CHEST,Which organ system is abnormal in this image?,ORGAN,OPEN,freeform,train,Cardiovascular,cardiovascular,Heart,heart
14,synpic54610.jpg,HEAD,Where is the pathology in this image?,POS,OPEN,freeform,train,vasculature,vasculature,Brain,brain
15,synpic42202.jpg,CHEST,Is there a pneumothorax?,PRES,CLOSED,freeform,train,no,no,Yes,yes
16,synpic54610.jpg,HEAD,What type of imaging is this?,MODALITY,OPEN,freeform,train,MRI Diffusion Weighted,mri diffusion weighted,MRI,mri
17,synpic54610.jpg,HEAD,What organ system is pictured?,ORGAN,OPEN,freeform,train,the brain,the brain,Brain,brain
18,synpic29265.jpg,CHEST,Is there a fracture?,PRES,CLOSED,freeform,train,no,no,No,no
20,synpic39460.jpg,HEAD,Is there swelling of the grey matter?,SIZE,CLOSED,freeform,train,yes,yes,Yes,yes
22,synpic28602.jpg,CHEST,Is this an anterior posterior image?,PLANE,CLOSED,freeform,train,no,no,Yes,yes
24,synpic39460.jpg,HEAD,Is this the brain?,ORGAN,CLOSED,freeform,train,yes,yes,Yes,yes
25,synpic29265.jpg,CHEST,Is there air under the diaphragm?,PRES,CLOSED,freeform,train,No,no,Yes,yes
26,synpic42202.jpg,CHEST,What type of image is this?,MODALITY,OPEN,freeform,train,Chest X-ray,chest x-ray,Medical,medical
27,synpic39460.jpg,HEAD,Is this a CT image?,MODALITY,CLOSED,freeform,train,no,no,Yes,yes
28,synpic42202.jpg,CHEST,Is this an anterior-posterior image,PLANE,CLOSED,freeform,train,no,no,Yes,yes
29,synpic39460.jpg,HEAD,In what plane is this image oriented?,PLANE,OPEN,freeform,train,Axial,axial,Horizontal,horizontal
30,synpic39460.jpg,HEAD,Is there a skull fracture pictured?,PRES,CLOSED,freeform,train,No,no,No,no
37,synpic26158.jpg,ABD,was the arterial contrast phase selected?,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes
38,synpic26158.jpg,ABD,does this plane of section include the gastric cardia?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes
42,synpic21776.jpg,CHEST,was this taken with good x ray penetration,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes
43,synpic34713.jpg,ABD,Are the common ileac arteries and veins patent in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes
44,synpic34713.jpg,ABD,Are the common iliac vasculature open?,PRES,CLOSED,para,train,Yes,yes,No,no
45,synpic19605.jpg,ABD,Is the spleen normal size?,SIZE,CLOSED,freeform,train,Yes,yes,No,no
46,synpic19605.jpg,ABD,Is the size of the spleen normal?,SIZE,CLOSED,para,train,Yes,yes,Yes,yes
47,synpic39086.jpg,ABD,Are there air fluid levels present in the small bowel?,PRES,CLOSED,para,train,yes,yes,Yes,yes
48,synpic39086.jpg,ABD,is there contrast material showing air-fluid levels in the small bowel,PRES,CLOSED,freeform,train,yes,yes,Yes,yes
49,synpic55245.jpg,HEAD,Is/Are the mass located near/in the mid brain?,POS,CLOSED,para,train,Yes,yes,Yes,yes
50,synpic55245.jpg,HEAD,Is the mass compressing the mid brain on this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes
51,synpic55245.jpg,HEAD,Is the mass pushing on the midbrain structures?,PRES,CLOSED,para,train,Yes,yes,Yes,yes
52,synpic50962.jpg,HEAD,Are brain structures shifted across the midline?,PRES,CLOSED,para,train,no,no,Yes,yes
53,synpic50962.jpg,HEAD,is there a midline shift of the cerebral parenchyma?,PRES,CLOSED,freeform,train,no,no,Yes,yes
54,synpic22967.jpg,ABD,Is the gallbladder large in size?,SIZE,CLOSED,para,train,No,no,Yes,yes
55,synpic22967.jpg,ABD,Is the gallbladder distended?,SIZE,CLOSED,freeform,train,No,no,Yes,yes
56,synpic25821.jpg,CHEST,Are there >8 ribs shown in this image?,COUNT,CLOSED,para,train,Yes,yes,Yes,yes
57,synpic25821.jpg,CHEST,Are there at least 8 ribs visible for good inspiratory effort?,COUNT,CLOSED,freeform,train,Yes,yes,Yes,yes
58,synpic34947.jpg,HEAD,is this an image of the cerebellum,ORGAN,CLOSED,freeform,train,yes,yes,Yes,yes
59,synpic50962.jpg,HEAD,Is this a transverse section?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes
60,synpic34515.jpg,ABD,Is the patient's vertebral body indicative of normal aging?,OTHER,CLOSED,para,train,Yes,yes,Yes,yes
61,synpic34515.jpg,ABD,any observed degenerative changes in the vertebral body?,PRES,CLOSED,freeform,train,no,no,Yes,yes
64,synpic30324.jpg,ABD,Is there evidence of herniation of the small bowel into the abdominal wall?,PRES,CLOSED,freeform,train,No,no,Yes,yes
65,synpic30324.jpg,ABD,Is there evidence of an abdominal hernia?,PRES,CLOSED,para,train,No,no,Yes,yes
66,synpic39088.jpg,ABD,Are there air-fluid levels present on this CT radiograph?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes
67,synpic39088.jpg,ABD,Is there evidence of air fluid levels in the patient's bowel?,PRES,CLOSED,para,train,Yes,yes,Yes,yes
68,synpic55245.jpg,HEAD,Have brain structures crossed the midline of the brain?,PRES,CLOSED,para,train,Yes,yes,Yes,yes
69,synpic55245.jpg,HEAD,Is there evidence of midlight shift of structures on this MRI?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes
70,synpic21776.jpg,CHEST,was this taken in PA position?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes
71,synpic34713.jpg,ABD,Is there evidence of air in the peritoneum?,PRES,CLOSED,para,train,Yes,yes,Yes,yes
72,synpic34713.jpg,ABD,Is there air in the peritoneal cavity?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes
73,synpic42245.jpg,CHEST,Are the hilar soft tissue densities symmetric?,ATTRIB,CLOSED,freeform,train,no,no,Yes,yes
74,synpic42245.jpg,CHEST,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,SIZE,CLOSED,para,train,no,no,Yes,yes
75,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal contour?,ATTRIB,CLOSED,para,train,Yes,yes,Yes,yes
76,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal contour and size?,ATTRIB,CLOSED,freeform,train,Yes,yes,Yes,yes
