qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains,llm_judge,llm_judge_correct,human_label
746,synpic24424.jpg,ABD,what is the composition of the mass?,ATTRIB,OPEN,freeform,train,fat,fat,Fat,fat,True,True,CORRECT,True,CORRECT
1914,synpic60543.jpg,HEAD,The image probably had what incidental finding?,PRES,OPEN,test_para,test,cavum vergae,cavum vergae,Brain,brain,False,False,INCORRECT,False,INCORRECT
1423,synpic28210.jpg,ABD,What organ exhibits pathology,ABN,OPEN,para,train,jejunum,jejunum,Liver,liver,False,False,INCORRECT,False,INCORRECT
205,synpic55948.jpg,HEAD,How would you describe the abnormality?,ATTRIB,OPEN,para,train,Diffuse,diffuse,Cyst,cyst,False,False,INCORRECT,False,INCORRECT
1201,synpic28277.jpg,ABD,What material is the peripheral hypodensity?,PRES,OPEN,para,train,Fat,fat,Fat,fat,True,True,CORRECT,True,CORRECT
280,synpic21044.jpg,CHEST,Which sign do you see in the aortopulmonary window in this image?,PRES,OPEN,test_freeform,test,middle mogul,middle mogul,None,none,False,False,INCORRECT,False,INCORRECT
418,synpic33689.jpg,ABD,How would you describe the duodenum?,ATTRIB,OPEN,para,train,Edematous,edematous,Small,small,False,False,INCORRECT,False,INCORRECT
2163,synpic31394.jpg,CHEST,What is the pathology seen in this image?,ABN,OPEN,para,train,pulmonary nodules,pulmonary nodules,Lung,lung,False,False,INCORRECT,False,INCORRECT
1920,synpic31116.jpg,HEAD,How would you describe the central and surrounding intesities of the abnormality seen?,COLOR,OPEN,para,train,central hyperintensity and surrounding hypointensity,central hyperintensity and surrounding hypointensity,Diffuse,diffuse,False,False,INCORRECT,False,INCORRECT
1957,synpic52282.jpg,HEAD,What structure in the left basal ganglia is spared?,ABN,OPEN,freeform,train,Left thalamus,left thalamus,Thalamus,thalamus,False,True,CORRECT,True,CORRECT
1960,synpic42951.jpg,HEAD,What is the condition seen in this image?,ABN,OPEN,para,train,small subdural hematoma with cerebral edema,small subdural hematoma with cerebral edema,Brain,brain,False,False,CORRECT,True,INCORRECT
2174,synpic27277.jpg,CHEST,What organ system is shown in the above image?,ORGAN,OPEN,freeform,train,cardiopulmonary,cardiopulmonary,Respiratory,respiratory,False,False,CORRECT,True,CORRECT
2162,synpic31394.jpg,CHEST,How would you describe the pathology seen in the above image?,ATTRIB,OPEN,freeform,train,"Rounded, well-defined pulmonary nodules varying in size and pattern","rounded, well-defined pulmonary nodules varying in size and pattern",Lung,lung,False,False,INCORRECT,False,INCORRECT
941,synpic41119.jpg,ABD,Which plane is the image shown in?,PLANE,OPEN,para,train,Axial,axial,X,x,False,True,CORRECT,True,INCORRECT
1057,synpic42805.jpg,CHEST,Which lobes of the lung contain a higher density of masses?,POS,OPEN,para,train,Upper lobes,upper lobes,Right,right,False,False,CORRECT,True,INCORRECT
1437,synpic56061.jpg,HEAD,What plane was used in this image?,PLANE,OPEN,test_para,test,axial,axial,Plane,plane,False,False,CORRECT,True,INCORRECT
1969,synpic52282.jpg,HEAD,What vessel is likely the cause of this infarction?,OTHER,OPEN,freeform,train,left MCA,left mca,Artery,artery,False,False,INCORRECT,False,CORRECT
297,synpic46720.jpg,HEAD,Where is the abnormality?,POS,OPEN,freeform,train,Right PCA,right pca,Brain,brain,False,False,INCORRECT,False,INCORRECT
998,synpic60254.jpg,HEAD,What cranial nerves may be affected by the lesion seen in the above image?,ABN,OPEN,freeform,train,Oculomotor nerve (CN III) and Trigeminal nerves (CN V),oculomotor nerve (cn iii) and trigeminal nerves (cn v),"V, VII","v, vii",False,False,INCORRECT,False,INCORRECT
889,synpic53097.jpg,HEAD,What is the location of the mass?,SIZE,OPEN,para,train,Pineal gland,pineal gland,Brain,brain,False,False,CORRECT,True,INCORRECT
1261,synpic31217.jpg,CHEST,Where is the abnormality?,POS,OPEN,freeform,train,Right lung,right lung,Lung,lung,False,True,CORRECT,True,INCORRECT
1859,synpic47964.jpg,HEAD,What type of modality was this image taken?,MODALITY,OPEN,freeform,train,MRI - T2 Weighted,mri - t2 weighted,Mri,mri,False,True,CORRECT,True,CORRECT
1991,synpic60831.jpg,HEAD,What is abnormal in this image?,ABN,OPEN,freeform,train,abnormal hyperintensity in the right occipital lobe,abnormal hyperintensity in the right occipital lobe,Brain,brain,False,False,CORRECT,True,CORRECT
871,synpic45634.jpg,HEAD,What is one adjective to describe the lesion(s)?,ATTRIB,OPEN,freeform,train,Loculated,loculated,Large,large,False,False,INCORRECT,False,INCORRECT
