qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains,llm_judge,llm_judge_correct
0,synpic54610.jpg,HEAD,Are regions of the brain infarcted?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
1,synpic29265.jpg,CHEST,Are the lungs normal appearing?,ABN,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
2,synpic29265.jpg,CHEST,Is there evidence of a pneumothorax,PRES,CLOSED,freeform,train,No,no,"Yes.

The common region of the brain, such as the cerebellum, cerebral cortex, or cerebral ventricles, is affected by the cerebral hemorrhage. The region","yes.

the common region of the brain, such as the cerebellum, cerebral cortex, or cerebral ventricles, is affected by the cerebral hemorrhage. the region",False,False,,False
3,synpic28602.jpg,CHEST,What type of imaging does this not represent?,MODALITY,OPEN,freeform,train,ultrasound,ultrasound,1,1,False,False,CORRECT,True
4,synpic29265.jpg,CHEST,Is this a MRI of the chest?,MODALITY,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
5,synpic28602.jpg,CHEST,What is not pictured in this image?,ORGAN,OPEN,freeform,train,The extremities,the extremities,No additional details provided.,no additional details provided.,False,False,INCORRECT,False
6,synpic28602.jpg,CHEST,Is the trachea midline?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
7,synpic28602.jpg,CHEST,Is there evidence of an aortic aneurysm?,PRES,CLOSED,freeform,train,No,no,No,no,True,True,,True
8,synpic39460.jpg,HEAD,Where is the abnormality?,POS,OPEN,freeform,train,left temporal lobe,left temporal lobe,"The region of interest is located in the left side of the brain, which is characterized by a hyperdense area that differs from the surrounding brain tissue. This area is indicative of a brain hemorrhage, which is a","the region of interest is located in the left side of the brain, which is characterized by a hyperdense area that differs from the surrounding brain tissue. this area is indicative of a brain hemorrhage, which is a",False,False,CORRECT,True
9,synpic28602.jpg,CHEST,Is there blunting of the costovertebral angles?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
11,synpic42202.jpg,CHEST,Which organ system is abnormal in this image?,ORGAN,OPEN,freeform,train,Cardiovascular,cardiovascular,None,none,False,False,CORRECT,True
14,synpic54610.jpg,HEAD,Where is the pathology in this image?,POS,OPEN,freeform,train,vasculature,vasculature,"The pathology in this image is a small, but non-contrasted, brain lesion.","the pathology in this image is a small, but non-contrasted, brain lesion.",False,False,INCORRECT,False
15,synpic42202.jpg,CHEST,Is there a pneumothorax?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
16,synpic54610.jpg,HEAD,What type of imaging is this?,MODALITY,OPEN,freeform,train,MRI Diffusion Weighted,mri diffusion weighted,"The image features a brain, likely an MRI (Magnetic Resonance Imaging) of the head, with a region of interest in the center. This region exhibits an unusual appearance, possibly indicating a disease or abnormality,","the image features a brain, likely an mri (magnetic resonance imaging) of the head, with a region of interest in the center. this region exhibits an unusual appearance, possibly indicating a disease or abnormality,",False,False,INCORRECT,False
17,synpic54610.jpg,HEAD,What organ system is pictured?,ORGAN,OPEN,freeform,train,the brain,the brain,Brain,brain,True,True,CORRECT,True
18,synpic29265.jpg,CHEST,Is there a fracture?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
20,synpic39460.jpg,HEAD,Is there swelling of the grey matter?,SIZE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
22,synpic28602.jpg,CHEST,Is this an anterior posterior image?,PLANE,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
24,synpic39460.jpg,HEAD,Is this the brain?,ORGAN,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
25,synpic29265.jpg,CHEST,Is there air under the diaphragm?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
26,synpic42202.jpg,CHEST,What type of image is this?,MODALITY,OPEN,freeform,train,Chest X-ray,chest x-ray,An X-ray image.,an x-ray image.,False,False,CORRECT,True
27,synpic39460.jpg,HEAD,Is this a CT image?,MODALITY,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
28,synpic42202.jpg,CHEST,Is this an anterior-posterior image,PLANE,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
29,synpic39460.jpg,HEAD,In what plane is this image oriented?,PLANE,OPEN,freeform,train,Axial,axial,"The image features a cross-sectional view of a brain, possibly a cortex or white matter region, with a small area of the brain appearing to have an abnormal texture or density compared to the surrounding areas. This area could be indicative","the image features a cross-sectional view of a brain, possibly a cortex or white matter region, with a small area of the brain appearing to have an abnormal texture or density compared to the surrounding areas. this area could be indicative",False,False,CORRECT,True
30,synpic39460.jpg,HEAD,Is there a skull fracture pictured?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
37,synpic26158.jpg,ABD,was the arterial contrast phase selected?,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
38,synpic26158.jpg,ABD,does this plane of section include the gastric cardia?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
42,synpic21776.jpg,CHEST,was this taken with good x ray penetration,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
43,synpic34713.jpg,ABD,Are the common ileac arteries and veins patent in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
44,synpic34713.jpg,ABD,Are the common iliac vasculature open?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
