qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains,llm_judge,llm_judge_correct
0,synpic54610.jpg,HEAD,Are regions of the brain infarcted?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
1,synpic29265.jpg,CHEST,Are the lungs normal appearing?,ABN,CLOSED,freeform,train,No,no,No,no,True,True,,True
2,synpic29265.jpg,CHEST,Is there evidence of a pneumothorax,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
3,synpic28602.jpg,CHEST,What type of imaging does this not represent?,MODALITY,OPEN,freeform,train,ultrasound,ultrasound,CT scan or MRI (not specified in the caption),ct scan or mri (not specified in the caption),False,False,CORRECT,True
4,synpic29265.jpg,CHEST,Is this a MRI of the chest?,MODALITY,CLOSED,freeform,train,no,no,No,no,True,True,,True
5,synpic28602.jpg,CHEST,What is not pictured in this image?,ORGAN,OPEN,freeform,train,The extremities,the extremities,Medical devices or treatments being administered to the patient.,medical devices or treatments being administered to the patient.,False,False,INCORRECT,False
6,synpic28602.jpg,CHEST,Is the trachea midline?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
7,synpic28602.jpg,CHEST,Is there evidence of an aortic aneurysm?,PRES,CLOSED,freeform,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
8,synpic39460.jpg,HEAD,Where is the abnormality?,POS,OPEN,freeform,train,left temporal lobe,left temporal lobe,"Brain parenchyma, upper-middle area of the image, lower-middle area of the image, and lower-right area of the image (right-center) and lower-left area of the image (left-center) and","brain parenchyma, upper-middle area of the image, lower-middle area of the image, and lower-right area of the image (right-center) and lower-left area of the image (left-center) and",False,False,INCORRECT,False
9,synpic28602.jpg,CHEST,Is there blunting of the costovertebral angles?,PRES,CLOSED,freeform,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
11,synpic42202.jpg,CHEST,Which organ system is abnormal in this image?,ORGAN,OPEN,freeform,train,Cardiovascular,cardiovascular,Respiratory system (possibly) or cardiovascular system (possibly) or both (possibly) or other organs (possibly) depending on the specific pathology or condition being shown in the image. The presence,respiratory system (possibly) or cardiovascular system (possibly) or both (possibly) or other organs (possibly) depending on the specific pathology or condition being shown in the image. the presence,False,True,INCORRECT,False
