qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains,llm_judge,llm_judge_correct
0,synpic54610.jpg,HEAD,Are regions of the brain infarcted?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
1,synpic29265.jpg,CHEST,Are the lungs normal appearing?,ABN,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
2,synpic29265.jpg,CHEST,Is there evidence of a pneumothorax,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
3,synpic28602.jpg,CHEST,What type of imaging does this not represent?,MODALITY,OPEN,freeform,train,ultrasound,ultrasound,Mri,mri,False,False,CORRECT,True
4,synpic29265.jpg,CHEST,Is this a MRI of the chest?,MODALITY,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
5,synpic28602.jpg,CHEST,What is not pictured in this image?,ORGAN,OPEN,freeform,train,The extremities,the extremities,Heart,heart,False,False,INCORRECT,False
6,synpic28602.jpg,CHEST,Is the trachea midline?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
7,synpic28602.jpg,CHEST,Is there evidence of an aortic aneurysm?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
8,synpic39460.jpg,HEAD,Where is the abnormality?,POS,OPEN,freeform,train,left temporal lobe,left temporal lobe,Brain,brain,False,False,CORRECT,True
9,synpic28602.jpg,CHEST,Is there blunting of the costovertebral angles?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
11,synpic42202.jpg,CHEST,Which organ system is abnormal in this image?,ORGAN,OPEN,freeform,train,Cardiovascular,cardiovascular,Heart,heart,False,False,CORRECT,True
14,synpic54610.jpg,HEAD,Where is the pathology in this image?,POS,OPEN,freeform,train,vasculature,vasculature,Brain,brain,False,False,INCORRECT,False
15,synpic42202.jpg,CHEST,Is there a pneumothorax?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
16,synpic54610.jpg,HEAD,What type of imaging is this?,MODALITY,OPEN,freeform,train,MRI Diffusion Weighted,mri diffusion weighted,MRI,mri,False,True,CORRECT,True
17,synpic54610.jpg,HEAD,What organ system is pictured?,ORGAN,OPEN,freeform,train,the brain,the brain,Brain,brain,True,True,CORRECT,True
18,synpic29265.jpg,CHEST,Is there a fracture?,PRES,CLOSED,freeform,train,no,no,No,no,True,True,,True
20,synpic39460.jpg,HEAD,Is there swelling of the grey matter?,SIZE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
22,synpic28602.jpg,CHEST,Is this an anterior posterior image?,PLANE,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
24,synpic39460.jpg,HEAD,Is this the brain?,ORGAN,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
25,synpic29265.jpg,CHEST,Is there air under the diaphragm?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
26,synpic42202.jpg,CHEST,What type of image is this?,MODALITY,OPEN,freeform,train,Chest X-ray,chest x-ray,Medical,medical,False,False,CORRECT,True
27,synpic39460.jpg,HEAD,Is this a CT image?,MODALITY,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
28,synpic42202.jpg,CHEST,Is this an anterior-posterior image,PLANE,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
29,synpic39460.jpg,HEAD,In what plane is this image oriented?,PLANE,OPEN,freeform,train,Axial,axial,Horizontal,horizontal,False,False,INCORRECT,False
30,synpic39460.jpg,HEAD,Is there a skull fracture pictured?,PRES,CLOSED,freeform,train,No,no,No,no,True,True,,True
37,synpic26158.jpg,ABD,was the arterial contrast phase selected?,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
38,synpic26158.jpg,ABD,does this plane of section include the gastric cardia?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
42,synpic21776.jpg,CHEST,was this taken with good x ray penetration,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
43,synpic34713.jpg,ABD,Are the common ileac arteries and veins patent in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
44,synpic34713.jpg,ABD,Are the common iliac vasculature open?,PRES,CLOSED,para,train,Yes,yes,No,no,False,False,,False
45,synpic19605.jpg,ABD,Is the spleen normal size?,SIZE,CLOSED,freeform,train,Yes,yes,No,no,False,False,,False
46,synpic19605.jpg,ABD,Is the size of the spleen normal?,SIZE,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
47,synpic39086.jpg,ABD,Are there air fluid levels present in the small bowel?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
48,synpic39086.jpg,ABD,is there contrast material showing air-fluid levels in the small bowel,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
49,synpic55245.jpg,HEAD,Is/Are the mass located near/in the mid brain?,POS,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
50,synpic55245.jpg,HEAD,Is the mass compressing the mid brain on this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
51,synpic55245.jpg,HEAD,Is the mass pushing on the midbrain structures?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
52,synpic50962.jpg,HEAD,Are brain structures shifted across the midline?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
